instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_C,atemp_C,windspeed_kph,humidity_pct
155,2011-06-04,Panas,0,6,0,Sabtu,0,Cerah / Sedikit Awan,0.635,0.594696,0.45625,0.123142,1869,3473,5342,26.035,29.7348,8.250514,45.625
156,2011-06-05,Panas,0,6,0,Minggu,0,Berkabut + Mendung,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,26.581653000000003,30.8402,9.292364000000001,65.25
157,2011-06-06,Panas,0,6,0,Senin,1,Cerah / Sedikit Awan,0.678333,0.621858,0.6,0.121896,673,3875,4548,27.811653,31.0929,8.167032,60.0
158,2011-06-07,Panas,0,6,0,Selasa,1,Cerah / Sedikit Awan,0.7075,0.65595,0.597917,0.187808,763,4070,4833,29.0075,32.7975,12.583136,59.791700000000006
159,2011-06-08,Panas,0,6,0,Rabu,1,Cerah / Sedikit Awan,0.775833,0.727279,0.622083,0.136817,676,3725,4401,31.809153,36.36395,9.166739,62.20830000000001
160,2011-06-09,Panas,0,6,0,Kamis,1,Berkabut + Mendung,0.808333,0.757579,0.568333,0.149883,563,3352,3915,33.141653,37.87895,10.042161,56.833299999999994
161,2011-06-10,Panas,0,6,0,Jumat,1,Cerah / Sedikit Awan,0.755,0.703292,0.605,0.140554,815,3771,4586,30.955000000000002,35.1646,9.417118,60.5
162,2011-06-11,Panas,0,6,0,Sabtu,0,Cerah / Sedikit Awan,0.725,0.678038,0.654583,0.15485,1729,3237,4966,29.724999999999998,33.901900000000005,10.374949999999998,65.45830000000001
163,2011-06-12,Panas,0,6,0,Minggu,0,Cerah / Sedikit Awan,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,28.392500000000002,32.166250000000005,10.958988999999999,74.7917
164,2011-06-13,Panas,0,6,0,Senin,1,Cerah / Sedikit Awan,0.635,0.601654,0.494583,0.30535,863,4157,5020,26.035,30.082700000000003,20.45845,49.4583
165,2011-06-14,Panas,0,6,0,Selasa,1,Cerah / Sedikit Awan,0.604167,0.591546,0.507083,0.269283,727,4164,4891,24.770847,29.5773,18.041961,50.708299999999994
166,2011-06-15,Panas,0,6,0,Rabu,1,Cerah / Sedikit Awan,0.626667,0.587754,0.471667,0.167912,769,4411,5180,25.693347,29.3877,11.250104,47.1667
167,2011-06-16,Panas,0,6,0,Kamis,1,Berkabut + Mendung,0.628333,0.595346,0.688333,0.206471,545,3222,3767,25.761653000000003,29.767300000000002,13.833556999999999,68.8333
168,2011-06-17,Panas,0,6,0,Jumat,1,Cerah / Sedikit Awan,0.649167,0.600383,0.735833,0.143029,863,3981,4844,26.615847000000002,30.01915,9.582942999999998,73.5833
169,2011-06-18,Panas,0,6,0,Sabtu,0,Cerah / Sedikit Awan,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,28.563347,32.197700000000005,8.000336,67.0417
170,2011-06-19,Panas,0,6,0,Minggu,0,Berkabut + Mendung,0.699167,0.645846,0.666667,0.102,1639,3105,4744,28.665847,32.292300000000004,6.834,66.6667
171,2011-06-20,Panas,0,6,0,Senin,1,Berkabut + Mendung,0.635,0.595346,0.74625,0.155475,699,3311,4010,26.035,29.767300000000002,10.416825,74.625
172,2011-06-21,Gugur,0,6,0,Selasa,1,Berkabut + Mendung,0.680833,0.637646,0.770417,0.171025,774,4061,4835,27.914153000000002,31.8823,11.458675000000001,77.0417
173,2011-06-22,Gugur,0,6,0,Rabu,1,Cerah / Sedikit Awan,0.733333,0.693829,0.7075,0.172262,661,3846,4507,30.066653000000002,34.69145,11.541554,70.75
174,2011-06-23,Gugur,0,6,0,Kamis,1,Berkabut + Mendung,0.728333,0.693833,0.703333,0.238804,746,4044,4790,29.861653,34.69165,15.999868,70.3333
175,2011-06-24,Gugur,0,6,0,Jumat,1,Cerah / Sedikit Awan,0.724167,0.656583,0.573333,0.222025,969,4022,4991,29.690847,32.82915,14.875675,57.3333
176,2011-06-25,Gugur,0,6,0,Sabtu,0,Cerah / Sedikit Awan,0.695,0.643313,0.483333,0.209571,1782,3420,5202,28.494999999999997,32.16565,14.041257,48.3333
177,2011-06-26,Gugur,0,6,0,Minggu,0,Cerah / Sedikit Awan,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,27.880000000000003,31.88145,6.3337311,51.3333
178,2011-06-27,Gugur,0,6,0,Senin,1,Berkabut + Mendung,0.6825,0.637004,0.658333,0.107588,854,3854,4708,27.982499999999998,31.8502,7.2083960000000005,65.8333
179,2011-06-28,Gugur,0,6,0,Selasa,1,Cerah / Sedikit Awan,0.744167,0.692558,0.634167,0.144283,732,3916,4648,30.510847000000002,34.6279,9.666960999999999,63.416700000000006
180,2011-06-29,Gugur,0,6,0,Rabu,1,Cerah / Sedikit Awan,0.728333,0.654688,0.497917,0.261821,848,4377,5225,29.861653,32.7344,17.542007,49.7917
181,2011-06-30,Gugur,0,6,0,Kamis,1,Cerah / Sedikit Awan,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,28.563347,31.8504,12.415904000000001,43.416700000000006
182,2011-07-01,Gugur,0,7,0,Jumat,1,Cerah / Sedikit Awan,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,29.622500000000002,32.6081,6.874736,39.625
183,2011-07-02,Gugur,0,7,0,Sabtu,0,Cerah / Sedikit Awan,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,30.271653,33.3654,7.709154,44.4583
184,2011-07-03,Gugur,0,7,0,Minggu,0,Berkabut + Mendung,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,29.383347,33.42875,15.333486,68.25
185,2011-07-04,Gugur,0,7,1,Senin,0,Berkabut + Mendung,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,29.793346999999997,33.27085,5.4591064000000005,63.7917
186,2011-07-05,Gugur,0,7,0,Selasa,1,Cerah / Sedikit Awan,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,30.613346999999997,34.816900000000004,8.459286,59.0417
187,2011-07-06,Gugur,0,7,0,Rabu,1,Cerah / Sedikit Awan,0.72,0.685633,0.743333,0.149883,784,3845,4629,29.52,34.28165,10.042161,74.33330000000001
188,2011-07-07,Gugur,0,7,0,Kamis,1,Cerah / Sedikit Awan,0.75,0.686871,0.65125,0.1592,754,3838,4592,30.75,34.34355,10.666400000000001,65.125
189,2011-07-08,Gugur,0,7,0,Jumat,1,Berkabut + Mendung,0.709167,0.670483,0.757917,0.225129,692,3348,4040,29.075847,33.524150000000006,15.083643,75.79169999999999
190,2011-07-09,Gugur,0,7,0,Sabtu,0,Cerah / Sedikit Awan,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,30.066653000000002,33.2079,11.250104,60.9167
191,2011-07-10,Gugur,0,7,0,Minggu,0,Cerah / Sedikit Awan,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,30.6475,34.50125,12.292557,57.8333
192,2011-07-11,Gugur,0,7,0,Senin,1,Cerah / Sedikit Awan,0.7625,0.729804,0.635833,0.282337,723,3363,4086,31.2625,36.4902,18.916579,63.5833
193,2011-07-12,Gugur,0,7,0,Selasa,1,Cerah / Sedikit Awan,0.794167,0.739275,0.559167,0.200254,662,3596,4258,32.560846999999995,36.96375,13.417017999999999,55.9167
194,2011-07-13,Gugur,0,7,0,Rabu,1,Cerah / Sedikit Awan,0.746667,0.689404,0.631667,0.146133,748,3594,4342,30.613346999999997,34.4702,9.790911000000001,63.1667
195,2011-07-14,Gugur,0,7,0,Kamis,1,Cerah / Sedikit Awan,0.680833,0.635104,0.47625,0.240667,888,4196,5084,27.914153000000002,31.7552,16.124689,47.625
196,2011-07-15,Gugur,0,7,0,Jumat,1,Cerah / Sedikit Awan,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,27.196652999999998,31.21855,12.249811,59.12500000000001
197,2011-07-16,Gugur,0,7,0,Sabtu,0,Cerah / Sedikit Awan,0.686667,0.638263,0.585,0.208342,2418,3505,5923,28.153347,31.91315,13.958914,58.5
198,2011-07-17,Gugur,0,7,0,Minggu,0,Cerah / Sedikit Awan,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,29.485847,33.49165,16.417211,60.4167
199,2011-07-18,Gugur,0,7,0,Senin,1,Cerah / Sedikit Awan,0.746667,0.703925,0.65125,0.215804,841,3617,4458,30.613346999999997,35.19625,14.458867999999999,65.125
200,2011-07-19,Gugur,0,7,0,Selasa,1,Cerah / Sedikit Awan,0.776667,0.747479,0.650417,0.1306,752,3789,4541,31.843347,37.37395,8.7502,65.0417
201,2011-07-20,Gugur,0,7,0,Rabu,1,Cerah / Sedikit Awan,0.768333,0.74685,0.707083,0.113817,644,3688,4332,31.501653,37.3425,7.625739,70.70830000000001
202,2011-07-21,Gugur,0,7,0,Kamis,1,Berkabut + Mendung,0.815,0.826371,0.69125,0.222021,632,3152,3784,33.415,41.31855,14.875407,69.125
203,2011-07-22,Gugur,0,7,0,Jumat,1,Cerah / Sedikit Awan,0.848333,0.840896,0.580417,0.1331,562,2825,3387,34.781653,42.0448,8.9177,58.0417
204,2011-07-23,Gugur,0,7,0,Sabtu,0,Cerah / Sedikit Awan,0.849167,0.804287,0.5,0.131221,987,2298,3285,34.815847,40.214349999999996,8.791807,50.0
205,2011-07-24,Gugur,0,7,0,Minggu,0,Cerah / Sedikit Awan,0.83,0.794829,0.550833,0.169171,1050,2556,3606,34.03,39.74145,11.334456999999999,55.0833
206,2011-07-25,Gugur,0,7,0,Senin,1,Cerah / Sedikit Awan,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,30.476653000000002,36.0479,6.0841560999999995,75.7083
207,2011-07-26,Gugur,0,7,0,Selasa,1,Cerah / Sedikit Awan,0.771667,0.696979,0.540833,0.200258,750,3840,4590,31.638347,34.84895,13.417285999999999,54.0833
208,2011-07-27,Gugur,0,7,0,Rabu,1,Cerah / Sedikit Awan,0.775,0.690667,0.402917,0.183463,755,3901,4656,31.775000000000002,34.53335,12.292020999999998,40.291700000000006
209,2011-07-28,Gugur,0,7,0,Kamis,1,Cerah / Sedikit Awan,0.779167,0.7399,0.583333,0.178479,606,3784,4390,31.945847,36.995,11.958093,58.3333
210,2011-07-29,Gugur,0,7,0,Jumat,1,Cerah / Sedikit Awan,0.838333,0.785967,0.5425,0.174138,670,3176,3846,34.371653,39.29835,11.667245999999999,54.25
211,2011-07-30,Gugur,0,7,0,Sabtu,0,Cerah / Sedikit Awan,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,32.970847,36.42685,11.291979,46.5833
212,2011-07-31,Gugur,0,7,0,Minggu,0,Cerah / Sedikit Awan,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,33.039153,36.4898,11.042470999999999,48.0833
213,2011-08-01,Gugur,0,8,0,Senin,1,Cerah / Sedikit Awan,0.771667,0.703292,0.550833,0.156717,729,3537,4266,31.638347,35.1646,10.500039,55.0833
214,2011-08-02,Gugur,0,8,0,Selasa,1,Cerah / Sedikit Awan,0.783333,0.707071,0.49125,0.20585,801,4044,4845,32.116653,35.35355,13.79195,49.125
215,2011-08-03,Gugur,0,8,0,Rabu,1,Berkabut + Mendung,0.731667,0.679937,0.6575,0.135583,467,3107,3574,29.998347,33.99685,9.084061,65.75
216,2011-08-04,Gugur,0,8,0,Kamis,1,Berkabut + Mendung,0.71,0.664788,0.7575,0.19715,799,3777,4576,29.11,33.2394,13.20905,75.75
217,2011-08-05,Gugur,0,8,0,Jumat,1,Cerah / Sedikit Awan,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,29.144153000000003,32.82835,12.374632,63.083299999999994
218,2011-08-06,Gugur,0,8,0,Sabtu,0,Berkabut + Mendung,0.716667,0.676154,0.755,0.22825,1521,2773,4294,29.383347,33.807700000000004,15.29275,75.5
219,2011-08-07,Gugur,0,8,0,Minggu,0,Cerah / Sedikit Awan,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,30.442500000000003,35.7646,13.499629,75.29169999999999
220,2011-08-08,Gugur,0,8,0,Senin,1,Cerah / Sedikit Awan,0.765,0.703283,0.592083,0.192175,846,3480,4326,31.365000000000002,35.16415,12.875725000000001,59.2083
221,2011-08-09,Gugur,0,8,0,Selasa,1,Cerah / Sedikit Awan,0.775,0.724121,0.570417,0.151121,907,3695,4602,31.775000000000002,36.20605,10.125107,57.04169999999999
222,2011-08-10,Gugur,0,8,0,Rabu,1,Cerah / Sedikit Awan,0.766667,0.684983,0.424167,0.200258,884,3896,4780,31.433346999999998,34.24915,13.417285999999999,42.4167
223,2011-08-11,Gugur,0,8,0,Kamis,1,Cerah / Sedikit Awan,0.7175,0.651521,0.42375,0.164796,812,3980,4792,29.4175,32.57605,11.041332,42.375
224,2011-08-12,Gugur,0,8,0,Jumat,1,Cerah / Sedikit Awan,0.708333,0.654042,0.415,0.125621,1051,3854,4905,29.041653,32.7021,8.416607,41.5
225,2011-08-13,Gugur,0,8,0,Sabtu,0,Berkabut + Mendung,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,28.119153,32.2929,14.167418,72.9583
226,2011-08-14,Gugur,0,8,0,Minggu,0,Berkabut + Mendung,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,27.743347,31.219400000000004,14.916411,81.75
227,2011-08-15,Gugur,0,8,0,Senin,1,Cerah / Sedikit Awan,0.665833,0.616167,0.712083,0.208954,775,3563,4338,27.299153,30.80835,13.999918,71.20830000000001
228,2011-08-16,Gugur,0,8,0,Selasa,1,Cerah / Sedikit Awan,0.700833,0.645837,0.578333,0.236329,721,4004,4725,28.734153000000003,32.29185,15.834043000000001,57.8333
229,2011-08-17,Gugur,0,8,0,Rabu,1,Cerah / Sedikit Awan,0.723333,0.666671,0.575417,0.143667,668,4026,4694,29.656653,33.33355,9.625689,57.5417
230,2011-08-18,Gugur,0,8,0,Kamis,1,Cerah / Sedikit Awan,0.711667,0.662258,0.654583,0.233208,639,3166,3805,29.178347000000002,33.1129,15.624936,65.45830000000001
231,2011-08-19,Gugur,0,8,0,Jumat,1,Berkabut + Mendung,0.685,0.633221,0.722917,0.139308,797,3356,4153,28.085,31.661050000000003,9.333635999999998,72.2917
232,2011-08-20,Gugur,0,8,0,Sabtu,0,Cerah / Sedikit Awan,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,28.5975,32.4498,6.999289,67.41669999999999
233,2011-08-21,Gugur,0,8,0,Minggu,0,Cerah / Sedikit Awan,0.710833,0.675525,0.77,0.248754,1249,2624,3873,29.144153000000003,33.776250000000005,16.666518,77.0
234,2011-08-22,Gugur,0,8,0,Senin,1,Cerah / Sedikit Awan,0.691667,0.638254,0.47,0.27675,833,3925,4758,28.358347000000002,31.9127,18.54225,47.0
235,2011-08-23,Gugur,0,8,0,Selasa,1,Cerah / Sedikit Awan,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,26.274153,30.303350000000002,9.833121,45.5417
236,2011-08-24,Gugur,0,8,0,Rabu,1,Cerah / Sedikit Awan,0.673333,0.630692,0.605,0.253108,949,4181,5130,27.606652999999998,31.5346,16.958236,60.5
237,2011-08-25,Gugur,0,8,0,Kamis,1,Berkabut + Mendung,0.684167,0.645854,0.771667,0.210833,435,3107,3542,28.050846999999997,32.2927,14.125810999999999,77.1667
238,2011-08-26,Gugur,0,8,0,Jumat,1,Cerah / Sedikit Awan,0.7,0.659733,0.76125,0.0839625,768,3893,4661,28.7,32.98665,5.625487499999999,76.125
239,2011-08-27,Gugur,0,8,0,Sabtu,0,Berkabut + Mendung,0.68,0.635556,0.85,0.375617,226,889,1115,27.880000000000003,31.7778,25.166338999999997,85.0
240,2011-08-28,Gugur,0,8,0,Minggu,0,Cerah / Sedikit Awan,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,28.989418999999998,32.397949999999994,20.412153,56.1765
241,2011-08-29,Gugur,0,8,0,Senin,1,Cerah / Sedikit Awan,0.636667,0.607958,0.554583,0.159825,729,3905,4634,26.103347,30.3979,10.708275,55.45830000000001
242,2011-08-30,Gugur,0,8,0,Selasa,1,Cerah / Sedikit Awan,0.639167,0.594704,0.548333,0.125008,775,4429,5204,26.205847000000002,29.7352,8.375536,54.833299999999994
243,2011-08-31,Gugur,0,8,0,Rabu,1,Cerah / Sedikit Awan,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,26.923347,30.556050000000003,5.5833311,59.791700000000006
244,2011-09-01,Gugur,0,9,0,Kamis,1,Cerah / Sedikit Awan,0.655,0.614921,0.639167,0.141796,783,4332,5115,26.855,30.746050000000004,9.500332,63.916700000000006
245,2011-09-02,Gugur,0,9,0,Jumat,1,Berkabut + Mendung,0.643333,0.604808,0.727083,0.139929,875,3852,4727,26.376653,30.2404,9.375243,72.70830000000001
246,2011-09-03,Gugur,0,9,0,Sabtu,0,Cerah / Sedikit Awan,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,27.435847,31.66065,12.416775,71.6667
247,2011-09-04,Gugur,0,9,0,Minggu,0,Cerah / Sedikit Awan,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,29.075847,33.27145,13.833289,74.20830000000001
248,2011-09-05,Gugur,0,9,1,Senin,0,Berkabut + Mendung,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,27.606652999999998,31.282300000000003,14.250632,79.0417
249,2011-09-06,Gugur,0,9,0,Selasa,1,Hujan / Salju Ringan,0.54,0.5152,0.886957,0.343943,204,2506,2710,22.14,25.759999999999998,23.044181,88.6957
250,2011-09-07,Gugur,0,9,0,Rabu,1,Hujan / Salju Ringan,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,24.565847,27.21145,6.500393600000001,91.7083
251,2011-09-08,Gugur,0,9,0,Kamis,1,Hujan / Salju Ringan,0.633913,0.555361,0.939565,0.192748,153,1689,1842,25.990433,27.76805,12.914116,93.9565
252,2011-09-09,Gugur,0,9,0,Jumat,1,Berkabut + Mendung,0.65,0.578946,0.897917,0.124379,417,3127,3544,26.650000000000002,28.9473,8.333393000000001,89.79169999999999
253,2011-09-10,Gugur,0,9,0,Sabtu,0,Cerah / Sedikit Awan,0.66,0.607962,0.75375,0.153608,1750,3595,5345,27.060000000000002,30.3981,10.291736,75.375
254,2011-09-11,Gugur,0,9,0,Minggu,0,Cerah / Sedikit Awan,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,26.786653,30.46145,7.708618,71.375
255,2011-09-12,Gugur,0,9,0,Senin,1,Cerah / Sedikit Awan,0.644348,0.60213,0.692174,0.088913,690,4023,4713,26.418268,30.106500000000004,5.957171000000001,69.2174
256,2011-09-13,Gugur,0,9,0,Selasa,1,Cerah / Sedikit Awan,0.650833,0.603554,0.7125,0.141804,701,4062,4763,26.684153,30.1777,9.500868,71.25
257,2011-09-14,Gugur,0,9,0,Rabu,1,Cerah / Sedikit Awan,0.673333,0.6269,0.697083,0.1673,647,4138,4785,27.606652999999998,31.345,11.2091,69.7083
258,2011-09-15,Gugur,0,9,0,Kamis,1,Berkabut + Mendung,0.5775,0.553671,0.709167,0.271146,428,3231,3659,23.677500000000002,27.68355,18.166782,70.9167
259,2011-09-16,Gugur,0,9,0,Jumat,1,Berkabut + Mendung,0.469167,0.461475,0.590417,0.164183,742,4018,4760,19.235847,23.07375,11.000261,59.0417
260,2011-09-17,Gugur,0,9,0,Sabtu,0,Berkabut + Mendung,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,20.158347,23.9256,12.708225,71.8333
261,2011-09-18,Gugur,0,9,0,Minggu,0,Cerah / Sedikit Awan,0.5075,0.490537,0.695,0.178483,1353,2921,4274,20.807499999999997,24.52685,11.958361,69.5
262,2011-09-19,Gugur,0,9,0,Senin,1,Berkabut + Mendung,0.549167,0.529675,0.69,0.151742,691,3848,4539,22.515846999999997,26.48375,10.166713999999999,69.0
263,2011-09-20,Gugur,0,9,0,Selasa,1,Berkabut + Mendung,0.561667,0.532217,0.88125,0.134954,438,3203,3641,23.028347,26.610850000000003,9.041917999999999,88.125
264,2011-09-21,Gugur,0,9,0,Rabu,1,Berkabut + Mendung,0.595,0.550533,0.9,0.0964042,539,3813,4352,24.395,27.526650000000004,6.4590814,90.0
265,2011-09-22,Gugur,0,9,0,Kamis,1,Berkabut + Mendung,0.628333,0.554963,0.902083,0.128125,555,4240,4795,25.761653000000003,27.74815,8.584375,90.2083
266,2011-09-23,Dingin,0,9,0,Jumat,1,Berkabut + Mendung,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,24.975847,26.106249999999996,5.2505689,97.25
267,2011-09-24,Dingin,0,9,0,Sabtu,0,Berkabut + Mendung,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,24.873347,28.2206,5.2516811,86.25
268,2011-09-25,Dingin,0,9,0,Minggu,0,Berkabut + Mendung,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,26.000847,28.631849999999996,3.3754064,84.5
269,2011-09-26,Dingin,0,9,0,Senin,1,Berkabut + Mendung,0.649167,0.589042,0.848333,0.1107,684,3946,4630,26.615847000000002,29.452099999999998,7.4169,84.8333
270,2011-09-27,Dingin,0,9,0,Selasa,1,Berkabut + Mendung,0.636667,0.574525,0.885417,0.118171,477,3643,4120,26.103347,28.726249999999997,7.917457,88.5417
271,2011-09-28,Dingin,0,9,0,Rabu,1,Berkabut + Mendung,0.635,0.575158,0.84875,0.148629,480,3427,3907,26.035,28.757899999999996,9.958143000000002,84.875
272,2011-09-29,Dingin,0,9,0,Kamis,1,Cerah / Sedikit Awan,0.616667,0.574512,0.699167,0.172883,653,4186,4839,25.283347,28.7256,11.583161,69.91669999999999
273,2011-09-30,Dingin,0,9,0,Jumat,1,Cerah / Sedikit Awan,0.564167,0.544829,0.6475,0.206475,830,4372,5202,23.130847,27.24145,13.833825,64.75
274,2011-10-01,Dingin,0,10,0,Sabtu,0,Berkabut + Mendung,0.41,0.412863,0.75375,0.292296,480,1949,2429,16.81,20.64315,19.583832,75.375
275,2011-10-02,Dingin,0,10,0,Minggu,0,Berkabut + Mendung,0.356667,0.345317,0.791667,0.222013,616,2302,2918,14.623347,17.26585,14.874870999999999,79.1667
276,2011-10-03,Dingin,0,10,0,Senin,1,Berkabut + Mendung,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,15.750846999999998,19.6023,5.5841686,76.0833
277,2011-10-04,Dingin,0,10,0,Selasa,1,Cerah / Sedikit Awan,0.484167,0.472858,0.71,0.205854,486,3970,4456,19.850847,23.6429,13.792218,71.0
278,2011-10-05,Dingin,0,10,0,Rabu,1,Cerah / Sedikit Awan,0.538333,0.527138,0.647917,0.17725,559,4267,4826,22.071652999999998,26.3569,11.87575,64.79169999999999
279,2011-10-06,Dingin,0,10,0,Kamis,1,Cerah / Sedikit Awan,0.494167,0.480425,0.620833,0.134954,639,4126,4765,20.260847000000002,24.02125,9.041917999999999,62.083299999999994
280,2011-10-07,Dingin,0,10,0,Jumat,1,Cerah / Sedikit Awan,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,20.944153,25.2202,1.5002439,68.41669999999999
281,2011-10-08,Dingin,0,10,0,Sabtu,0,Cerah / Sedikit Awan,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,21.388347,25.6621,3.0420814,70.125
282,2011-10-09,Dingin,0,10,0,Minggu,0,Cerah / Sedikit Awan,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,22.174153,26.19915,4.251150000000001,72.75
283,2011-10-10,Dingin,0,10,1,Senin,0,Cerah / Sedikit Awan,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,23.404153,27.14625,2.8343814,73.375
284,2011-10-11,Dingin,0,10,0,Selasa,1,Berkabut + Mendung,0.566667,0.546096,0.80875,0.143042,667,3896,4563,23.233347000000002,27.3048,9.583814,80.875
285,2011-10-12,Dingin,0,10,0,Rabu,1,Hujan / Salju Ringan,0.543333,0.517717,0.90625,0.24815,217,2199,2416,22.276653,25.885849999999998,16.62605,90.625
286,2011-10-13,Dingin,0,10,0,Kamis,1,Berkabut + Mendung,0.589167,0.551804,0.896667,0.141787,290,2623,2913,24.155847,27.5902,9.499729,89.6667
287,2011-10-14,Dingin,0,10,0,Jumat,1,Berkabut + Mendung,0.550833,0.529675,0.71625,0.223883,529,3115,3644,22.584153,26.48375,15.000161,71.625
288,2011-10-15,Dingin,0,10,0,Sabtu,0,Cerah / Sedikit Awan,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,20.773346999999998,24.936249999999998,17.291561,48.3333
289,2011-10-16,Dingin,0,10,0,Minggu,0,Cerah / Sedikit Awan,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,20.978347,25.1577,18.875039,48.6667
290,2011-10-17,Dingin,0,10,0,Senin,1,Cerah / Sedikit Awan,0.534167,0.510725,0.579583,0.175379,713,3857,4570,21.900847,25.53625,11.750393,57.958299999999994
291,2011-10-18,Dingin,0,10,0,Selasa,1,Berkabut + Mendung,0.5325,0.522721,0.701667,0.110087,637,4111,4748,21.8325,26.13605,7.375829,70.1667
292,2011-10-19,Dingin,0,10,0,Rabu,1,Hujan / Salju Ringan,0.541739,0.513848,0.895217,0.243339,254,2170,2424,22.211299,25.6924,16.303713,89.52170000000001
293,2011-10-20,Dingin,0,10,0,Kamis,1,Cerah / Sedikit Awan,0.475833,0.466525,0.63625,0.422275,471,3724,4195,19.509153,23.32625,28.292425,63.625
294,2011-10-21,Dingin,0,10,0,Jumat,1,Cerah / Sedikit Awan,0.4275,0.423596,0.574167,0.221396,676,3628,4304,17.5275,21.1798,14.833532,57.4167
295,2011-10-22,Dingin,0,10,0,Sabtu,0,Cerah / Sedikit Awan,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,17.322499999999998,21.2746,6.2086689,62.916700000000006
296,2011-10-23,Dingin,0,10,0,Minggu,0,Cerah / Sedikit Awan,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,17.288347,21.11665,6.6673375,74.125
297,2011-10-24,Dingin,0,10,0,Senin,1,Cerah / Sedikit Awan,0.463333,0.457067,0.772083,0.118792,699,3488,4187,18.996653,22.85335,7.959064,77.2083
298,2011-10-25,Dingin,0,10,0,Selasa,1,Cerah / Sedikit Awan,0.471667,0.463375,0.622917,0.166658,695,3992,4687,19.338347,23.16875,11.166086,62.291700000000006
299,2011-10-26,Dingin,0,10,0,Rabu,1,Berkabut + Mendung,0.484167,0.472846,0.720417,0.148642,404,3490,3894,19.850847,23.6423,9.959014,72.04169999999999
300,2011-10-27,Dingin,0,10,0,Kamis,1,Berkabut + Mendung,0.47,0.457046,0.812917,0.197763,240,2419,2659,19.27,22.8523,13.250121,81.2917
301,2011-10-28,Dingin,0,10,0,Jumat,1,Berkabut + Mendung,0.330833,0.318812,0.585833,0.229479,456,3291,3747,13.564153,15.9406,15.375093,58.58330000000001
302,2011-10-29,Dingin,0,10,0,Sabtu,0,Hujan / Salju Ringan,0.254167,0.227913,0.8825,0.351371,57,570,627,10.420846999999998,11.39565,23.541857,88.25
303,2011-10-30,Dingin,0,10,0,Minggu,0,Cerah / Sedikit Awan,0.319167,0.321329,0.62375,0.176617,885,2446,3331,13.085847,16.06645,11.833339,62.375
304,2011-10-31,Dingin,0,10,0,Senin,1,Cerah / Sedikit Awan,0.34,0.356063,0.703333,0.10635,362,3307,3669,13.940000000000001,17.803150000000002,7.12545,70.3333
305,2011-11-01,Dingin,0,11,0,Selasa,1,Cerah / Sedikit Awan,0.400833,0.397088,0.68375,0.135571,410,3658,4068,16.434153,19.8544,9.083257,68.375
306,2011-11-02,Dingin,0,11,0,Rabu,1,Cerah / Sedikit Awan,0.3775,0.390133,0.71875,0.0820917,370,3816,4186,15.477500000000001,19.50665,5.5001439,71.875
307,2011-11-03,Dingin,0,11,0,Kamis,1,Cerah / Sedikit Awan,0.408333,0.405921,0.702083,0.136817,318,3656,3974,16.741653,20.296049999999997,9.166739,70.20830000000001
